Accession,Ploidy,Prop_Msi
RU2012-042,2x,0.003
JY021,2x,0.001
KMS418,4x,0.027
JY057,2x,0
JY037,2x,0.004
JY261,2x,0
JY147-8,2x,0.001
JY108,2x,0
RU2012-078,2x,0.006
JY226,2x,0.01
JY294,2x,0
RU2012-108,2x,0.003
RU2012-040,2x,0.001
RU2012-104,2x,0.002
JY280,2x,0
JY268-9,2x,0
KMS383,2x,0
RU2012-047,2x,0.003
RU2012-073,2x,0.003
RU2012-182,2x,0
RU2012-127,2x,0.001
RU2012-020,2x,0.003
JM2014-K-11,4x,0.017
JM2014-H-8,4x,0.001
RU2012-181-5,2x,0.01
RU2012-025,2x,0.001
RU2012-106,2x,0
KMS380,4x,0
JY224,2x,0
RU2012-111,2x,0.001
JY046,2x,0.002
JY016,2x,0
RU2012-147,2x,0
JY214,2x,0.001
RU2012-177,2x,0.001
JY023,2x,0.003
RU2012-087,2x,0.001
RU2012-050,2x,0.001
RU2012-126,2x,0
RU2012-041,2x,0
RU2012-164,2x,0.001
JY049,2x,0.002
RU2012-056.2,2x,0
JM2014-H-64,4x,0.158
RU2012-162,2x,0.001
KMS365,2x,0.26
JY050,2x,0.005
JY190,2x,0.001
KMS349,2x,0.034
RU2012-036-8,2x,0.001
RU2012-190,2x,0.01
KMS377,2x,0.01
KMS449,4x,0
JY056,2x,0
RU2012-120,2x,0.001
JY249,2x,0
KMS328,4x,0.023
KMS414,4x,0.002
RU2012-131,2x,0.005
JM2014-H-56,4x,0
RU2012-098,2x,0.01
JY270,2x,0
RU2012-141,2x,0
JY215,2x,0.003
RU2012-114,2x,0.002
KMS378,2x,0.004
blank-Msa54,,
JY271-2,2x,0
RU2012-197,2x,0.001
JY266,2x,0
RU2012-083,2x,0
RU2012-043,2x,0
JY260,2x,0.002
JM2014-M-11,4x,0.001
RU2012-029,2x,0.001
JY038,2x,0.002
RU2012-136,2x,0.001
RU2012-105,2x,0.005
JY220,2x,0.001
KMS370,2x,0
RU2012-095,2x,0.006
JY291,2x,0
RU2012-028,2x,0
RU2012-161,2x,0.007
JY201,2x,0.008
JY054,2x,0
JY277,2x,0.001
RU2012-100,2x,0.004
JY120,2x,0
JM2014-K-10,4x,0.001
JY048,2x,0.005
JY264,2x,0
JY018,2x,0
KMS394,2x,0.27
RU2012-068,2x,0.004
JY225,2x,0.001
RU2012-207,2x,0
RU2012-096,2x,0.005
JY030,2x,0
JY022,2x,0
RU2012-169,2x,0.004
JY118-1,4x,0.001
RU2012-145,2x,0.004
RU2012-097,2x,0.001
JY174,4x,0.002
RU2012-165,2x,0.002
JY152,4x,0.011
JY199,2x,0
RU2012-158,2x,0.002
JY101,2x,0.001
JY265,2x,0
JY246,2x,0
JY262,2x,0
JY155,2x,0.001
JY051,2x,0.002
RU2012-179,2x,0
RU2012-154,2x,0.001
JY191,4x,0
JY221-2,2x,0.005
KMS415,4x,0.006
JY205,2x,0.002
KMS374,2x,0.006
JY015,2x,0
JY080,2x,0
JY044-5,2x,0.003
JY175,4x,0
RU2012-214,2x,0.007
JY163,2x,0.002
JY164,2x,0.003
JM2014-H-9,4x,0
RU2012-065,2x,0.001
RU2012-084,2x,0.003
JY187,2x,0
RU2012-030,2x,0.004
RU2012-202,2x,0
UI11-00006,2x,0.001
JY248,2x,0
RU2012-138,2x,0
KMS406,2x,0
RU2012-109,2x,0.001
KMS331,3x,0.33
JY087,2x,0.002
JM2014-M-1,4x,0.02
KMS292,3x,0.342
RU2012-076,2x,0
KMS323,3x,0.346
RU2012-086,2x,0.006
JY109,2x,0
RU2012-156,2x,0.006
JY206,2x,0
JY073,2x,0
RU2012-080,2x,0.011
JM2014-H-54,4x,0.155
JY196,2x,0.001
RU2012-052,2x,0
JY154,2x,0
JM2014-H-49,4x,0
JY138,4x,0.014
KMS376,2x,0.003
KMS390,4x,0.035
JY239,2x,0
KMS465,4x,0
RU2012-066,2x,0.005
RU2012-048,2x,0.002
RU2012-121,2x,0.004
RU2012-102,2x,0.005
RU2012-019,2x,0.004
JY083,2x,0.003
RU2012-137,2x,0.006
JY102,2x,0.002
blank-Msa55,,
JY055,2x,0
KMS346,4x,0.009
RU2012-046,2x,0.003
JY039,2x,0.001
KMS343,2x,0
KMS332,4x,0
KMS373,2x,0.001
KMS402,4x,0.079
RU2012-194,2x,0.001
JY301,2x,0.001
RU2012-016,2x,0.001
